sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
1248,Bagatelle,Schonbek,Lighting > Chandeliers,2865,"Bagatelle: a dainty, playful musical composition; an ephemeral love affair. We offer a new interpretation of a classic lantern, a fanciful dance of crystal rosettes and drops around a sculptural crystal basket. Place it as a centerpiece in any room for a striking effect.

*MADE TO ORDER 
Choose from the following crystals and finishes:

Crystal:

1. Clear Crystals From Swarovski

2. Clear Heritage Crystal

Finish:

1. Heirloom Gold (-22)

2. Etruscan Gold (-23)

3. French Gold (-26) Premium Finish

4. Polished Silver (-40)

5. Antique Silver (-48)

6. Heirloom Bronze (-76)

7. Aurelia (-211)

Type: Chandelier
Width/Length: 26.5in / 67cm
Height: 29in / 74cm
Chain Length: 40in / 102cm
Hang Weight: 23lbs / 10.4kg
Tier Count: 1
Bulb Count: 11
Bulb Info: (8) E12, 60 MAX, B10**
(3) E12, 40 MAX, G12*
Voltage: 110V / 220V / CCC
","1248-1, 1248-2",26.5,26.5,29
1243,Bagatelle,Schonbek,Lighting > Pendants,699,"Bagatelle: a dainty, playful musical
composition; an ephemeral love affair. We offer
a new interpretation of a classic lantern, a
fanciful dance of crystal rosettes and drops
around a sculptural crystal basket. Place it as a
centerpiece in any room for a striking effect.

*MADE TO ORDER 
Choose from the following crystals and finishes:

1. Clear Crystals From Swarovski 

2. Clear Heritage Crystal 

Finish: 

1. Heirloom Gold (-22) 

2. Etruscan Gold (-23) 

3. French Gold (-26) Premium Finish 

4. Polished Silver (-40) 

5. Antique Silver (-48) 

6. Heirloom Bronze (-76) 

7. Aurelia (-211)


Type: Pendant
Width/Length: 10.5in / 27cm
Height: 12.5in / 32cm
Chain Length: 40in / 102cm
Hang Weight: 8lbs / 3.6kg
Tier Count: 1
Bulb Count: 3
Bulb Info: (3) E12, 60 MAX, B10**
Voltage: 110V / 220V / CCC
","1243-1, 1243-2",10.5,10.5,12.5
1241,Bagatelle,Schonbek,Lighting > Pendants,639,"* MADE TO ORDER 

Bagatelle: a dainty, playful musical composition; an ephemeral love affair. We offer a new interpretation of a classic lantern, a fanciful dance of crystal rosettes and drops around a sculptural crystal basket. Place it as a centerpiece in any room for a striking effect. 

Choose from the following crystals and finishes: 

Crystal: 

1. Clear Crystals From Swarovski 

2. Clear Heritage Crystal 

Finish: 

1. Heirloom Gold (-22) 

2. Etruscan Gold (-23) 

3. French Gold (-26) Premium Finish 

4. Polished Silver (-40) 

5. Antique Silver (-48) 

6. Heirloom Bronze (-76) 

7. Aurelia (-211) 

Type: Pendant 
Width/Length: 8in / 20cm 
Height: 9.5in / 24cm 
Chain Length: 40in / 102cm 
Hang Weight: 5lbs / 2.3kg 
Tier Count: 1 
Bulb Count: 1 
Bulb Info: (1) E26, 100 MAX, A19** 
Voltage: 110V / 220V 


*Quantity available v","1241-1, 1241-2",8,8,9.5
1240,Bagatelle,Schonbek,Lighting > Wall Sconces,879,"* MADE TO ORDER 

Bagatelle: a dainty, playful musical
composition; an ephemeral love affair. We offer
a new interpretation of a classic lantern, a
fanciful dance of crystal rosettes and drops
around a sculptural crystal basket. Place it as a
centerpiece in any room for a striking effect.

Choose from the following crystals and finishes: 

Crystal: 

1. Clear Crystals From Swarovski 

2. Clear Heritage Crystal 

Finish: 

1. Heirloom Gold (-22) 

2. Etruscan Gold (-23) 

3. French Gold (-26) Premium Finish 

4. Polished Silver (-40) 

5. Antique Silver (-48) 

6. Heirloom Bronze (-76) 

7. Aurelia (-211)

Type: Wall Sconce
Width/Length: 8in / 20cm
Height: 13in / 33cm
Depth/Extension: 10.5in / 27cm
Hang Weight: 5lbs / 2.3kg
Tier Count: 1
Bulb Count: 1
Bulb Info: (1) E26, 100 MAX, A19**
Voltage: 110V / 220V","1240-1, 1240-2",8,8,13
5782,Bordeaux,Schonbek,Lighting > Chandeliers,8950,"* MADE TO ORDER 

Louis XIV, the âRoi Soleil,â transformed his
fatherâs hunting pavilion in Versailles into a
breathtaking chÃ¢teau flaunting the finest
artworks and ornaments. The opulent Hall of
Mirrors, where 43 luxurious chandeliers held
over 1000 candles, is the inspiration for our
Bordeaux design, which celebrates the majestic
castle.

Choose from the following crystals and finishes:

Crystal:

1. Clear Legacy Crystal

Finish:

1. Heirloom Gold (-22)

2. Etruscan Gold (-23)

3. French Gold (-26) Premium Finish

4. Antique Silver (-48)

5. Textured Bronze (-73) Premium Finish

6. Heirloom Bronze (-76)

Type: Chandelier
Width/Length: 40in / 102cm
Height: 64.5in / 164cm
Chain Length: 126in / 320cm
Hang Weight: 56lbs / 25.2kg
Tier Count: 3
Bulb Count: 25
Bulb Info: (25) E12, 60 MAX, B10**
Voltage: 110V
","5782-1, 5782-2",40,40,64.5
5771,Bordeaux,Schonbek,Lighting > Chandeliers,3365,"* MADE TO ORDER 

Louis XIV, the âRoi Soleil,â transformed his
fatherâs hunting pavilion in Versailles into a
breathtaking chÃ¢teau flaunting the finest
artworks and ornaments. The opulent Hall of
Mirrors, where 43 luxurious chandeliers held
over 1000 candles, is the inspiration for our
Bordeaux design, which celebrates the majestic
castle.

Choose from the following crystals and finishes:

Crystal:

1. Clear Legacy Crystal

Finish:

1. Heirloom Gold (-22)

2. Etruscan Gold (-23)

3. French Gold (-26) Premium Finish

4. Antique Silver (-48)

5. Heirloom Bronze (-76)

6. Textured Bronze (-73) Premium Finish

Type: Chandelier
Width/Length: 28in / 71cm
Height: 32in / 81cm
Chain Length: 40in / 102cm
Hang Weight: 22lbs / 9.9kg
Tier Count: 1
Bulb Count: 8
Bulb Info: (8) E12, 60 MAX, B10**
Voltage: 110V
","5771-1, 5771-2",28,28,32
5770,Bordeaux,Schonbek,Lighting > Chandeliers,2475,"*MADE TO ORDER 

Louis XIV, the âRoi Soleil,â transformed his
fatherâs hunting pavilion in Versailles into a
breathtaking chÃ¢teau flaunting the finest
artworks and ornaments. The opulent Hall of
Mirrors, where 43 luxurious chandeliers held
over 1000 candles, is the inspiration for our
Bordeaux design, which celebrates the majestic
castle.

Choose from the following crystals and finishes:

Crystal:

1. Clear Legacy Crystal

Finish:

1. Heirloom Gold (-22)

2. Etruscan Gold (-23)

3. French Gold (-26) Premium Finish

4. Antique Silver (-48)

5. Heirloom Bronze (-76)

6. Textured Bronze (-73) Premium Finish

Type: Chandelier
Width/Length: 22in / 56cm
Height: 29in / 74cm
Chain Length: 40in / 102cm
Hang Weight: 16lbs / 7.2kg
Tier Count: 1
Bulb Count: 6
Bulb Info: (6) E12, 60 MAX, B10**
Voltage: 110V","5770-1, 5770-2",22,22,29
5766,Bordeaux,Schonbek,Lighting > Wall Sconces,1385,"*MADE TO ORDER

Louis XIV, the âRoi Soleil,â transformed his
fatherâs hunting pavilion in Versailles into a
breathtaking chÃ¢teau flaunting the finest
artworks and ornaments. The opulent Hall of
Mirrors, where 43 luxurious chandeliers held
over 1000 candles, is the inspiration for our
Bordeaux design, which celebrates the majestic
castle.

Choose from the following crystals and finishes: 

Crystal: 

1. Clear Legacy Crystal 

Finish: 

1. Heirloom Gold (-22) 

2. Etruscan Gold (-23) 

3. French Gold (-26) Premium Finish 

4. Antique Silver (-48) 

5. Heirloom Bronze (-76) 

6. Textured Bronze (-73) Premium Finish

Type: Wall Sconce
Width/Length: 11.5in / 29cm
Height: 21.5in / 55cm
Depth/Extension: 9in / 23cm
Hang Weight: 6lbs / 2.7kg
Tier Count: 1
Bulb Count: 2
Bulb Info: (2) E12, 60 MAX, B10**
Voltage: 110V
","5766-1, 5766-2",11.5,9,21.5
2642,Camelot,Schonbek,Lighting > Chandeliers,10175,"*MADE TO ORDER

As Napoleon embarked on a journey for
regional domination, he looked back at the
glorious days of the Greek and Roman
empires, celebrating the virtues of Antiquityâs
military and cultural powers. Corinthian
richness and splendor filled castles and private
homes, combining the geometry of classicism
with lavish stones and metals. Camelot is a
dense plethora of crystals reminiscent of eras
of true imperial splendor.

Choose from the following crystals and finishes:

Crystal:

1. Clear Gemcut Crystal

Finish:

1. Polished Silver (-40)

2. Aurelia (-211)

Type: Chandelier
Width/Length: 34in / 86cm
Height: 60in / 152cm
Chain Length: 126in / 320cm
Hang Weight: 66lbs / 29.7kg
Tier Count: 1
Bulb Count: 57
Bulb Info: (57) E12, 60 MAX, B10**
Voltage: 110V
","2642-1, 2642-2",34,34,60
2628,Camelot,Schonbek,Lighting > Chandeliers,5215,"*MADE TO ORDER

As Napoleon embarked on a journey for
regional domination, he looked back at the
glorious days of the Greek and Roman
empires, celebrating the virtues of Antiquityâs
military and cultural powers. Corinthian
richness and splendor filled castles and private
homes, combining the geometry of classicism
with lavish stones and metals. Camelot is a
dense plethora of crystals reminiscent of eras
of true imperial splendor.

Choose from the following crystals and finishes: 

Crystal: 

1. Clear Gemcut Crystal 

Finish: 

1. Polished Silver (-40) 

2. Aurelia (-211)

Type: Chandelier
Width/Length: 28in / 71cm
Height: 40in / 102cm
Chain Length: 80in / 203cm
Hang Weight: 36lbs / 16.2kg
Tier Count: 1
Bulb Count: 31
Bulb Info: (31) E12, 60 MAX, B10**
Voltage: 110V","2628-1, 2628-2",28,28,40
