sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
149924,BANKS BAR STOOL - CREAM,Interlude Home,Furniture > Dining > Barstools & Counterstools,1869,3738,"Sleek and so glam, the Banks Bar Stool boasts an architectural stainless steel frame in a polished brass finish, and a cream latte faux leather seat.","149924-1,149924-2,149924-3,149924-4,149924-5","21""D; SH 30''; SW 18''","20""W",40''H
149905,IVY BAR STOOL - CREAM,Interlude Home,Furniture > Dining > Barstools & Counterstools,628,1256,The streamlined Ivy Bar Stool in cream latte faux leather adds a sophisticated elegance to any space.,"149905-1,149905-2,149905-3,149905-4","22""D; SH 30""H","20""W","44""H"
149190,DRAKE BAR STOOL - GREY (SWIVEL),Interlude Home,Furniture > Dining > Barstools & Counterstools,1410,2820,"Topped in cityscape grey faux leather, the polished nickel-finished Drake Bar Stool brings together a retro silhouette with an industrial edge, plus the fun of a swivel.","149190-1,149190-2","15""DIA",,"30""H"
149189,DRAKE BAR STOOL - CREAM (SWIVEL),Interlude Home,Furniture > Dining > Barstools & Counterstools,1410,2820,"Topped in cream latte faux leather, the polished brass-finished Drake Bar Stool brings together a retro silhouette with an industrial edge, plus the fun of a swivel.","149189-1,149189-2","15""DIA",,"30""H"
149130,DARCY HIDE BAR STOOL - NICKEL,Interlude Home,Furniture > Dining > Barstools & Counterstools,2430,4860,"Boasting an art moderne influence, the Darcy Bar Stool features a light natural hide seat and a streamlined stainless steel frame in an polished nickel finish.","149130-1,149130-2,149130-3,149130-4","19""D; SH 30""","22""W","40""H"
149129,DARCY HIDE BAR STOOL - BRONZE,Interlude Home,Furniture > Dining > Barstools & Counterstools,2430,4860,"Boasting an art moderne influence, the Darcy Bar Stool features a light natural hide seat and a streamlined stainless steel frame in an antique bronze finish.","149129-1,149129-2,149129-3,149129-4","19""D; SH 30""","22""W","40""H"
148106,DARCY BAR STOOL - GREY/ NICKEL,Interlude Home,Furniture > Dining > Barstools & Counterstools,2297,4594,"Boasting an art moderne influence, the Darcy Bar Stool features a grey leather seat and a streamlined stainless steel frame in a polished nickel finish.","148106-1,148106-2,148106-3","19""D; AH 39 1/2""; SH 30""; SD 16""","22""W","39 1/2""H"
148103,DARCY BAR STOOL - TAUPE,Interlude Home,Furniture > Dining > Barstools & Counterstools,2297,4594,"Boasting an art moderne influence, the Darcy Bar Stool features a taupe leather seat and a streamlined stainless steel frame in an antique bronze finish.","148103-1,148103-2,148103-3","19""D; AH 39 1/2""; SH 30""; SD 16""","22""W","39 1/2""H"
148102,DARCY BAR STOOL - CREAM,Interlude Home,Furniture > Dining > Barstools & Counterstools,2297,4594,"Boasting an art moderne influence, the Darcy Bar Stool features a cream leather seat and a streamlined stainless steel frame in a polished brass finish.","148102-1,148102-2,148102-3","19""D; AH 39 1/2""; SH 30""; SD 16""","22""W","39 1/2""H"
145104,TRISTAN KLISMOS BAR STOOL - GREY VELVET,Interlude Home,Furniture > Dining > Barstools & Counterstools,2603,5206,"Pairing on-trend acrylic with a grey velvet seat, the Tristan Klismos Bar Stool delivers a fabulous take on a classic silhouette.","145104-1,145104-2","23""D; SH 30""","19""W","46""H"
188200,CASSIAN BAR CABINET,Interlude Home,Furniture > Living > Cabinets,3795,7590,"With light natural hide, clear acrylic pulls with polished nickel metal accents and a fabulous mirrored interior, the Cassian Bar Cabinet marries glam with cocktail-making efficiency.","188200-1,188200-2,188200-3,188200-4","21""D","36 1/2""W","36""H"
188011,MORAND CONSOLE/ DESK - TAUPE,Interlude Home,Furniture > Living > Cabinets,1880,3760,"Elegance at its chicest, the taupe shagreen Morand Console/Desk makes a luxurious, classic statement.","188011-1,188011-2,188011-3","16""D","48""W","30""H"
139025,DESIRE CREDENZA,Interlude Home,Furniture > Living > Cabinets,3723,7446,"Paying homage to a fabulous midcentury modern silhouette, the Desire Credenza features bold, brushed brass hardware and a grey wash oak finish.","139025-1,139025-2,139025-3","18""D","72""W","30""H"
139022,CORINNA BUFFET - GREY,Interlude Home,Furniture > Living > Cabinets,2911,5822,"With its grey wash oak finish, faux linen accents and metal details, the Corinna Buffet is understated elegance at its best.","139022-1,139022-2,139022-3","17""D","71""W","32""H"
188046,MORAND CONSOLE/ DESK - BONE,Interlude Home,Furniture > Living > Tables > Console Tables,1755,3510,"Elegance at its chicest, the bone sharkskin Morand Console/Desk makes a luxurious, classic statement.","188046-1,188046-2,188046-3","16""D","48""W","30""H"
188011,MORAND CONSOLE/ DESK - TAUPE,Interlude Home,Furniture > Living > Tables > Console Tables,1880,3760,"Elegance at its chicest, the taupe shagreen Morand Console/Desk makes a luxurious, classic statement.","188011-1,188011-2,188011-3","16""D","48""W","30""H"
139016,FELICITY CONSOLE,Interlude Home,Furniture > Living > Tables > Console Tables,2155,4310,A stunning pattern of natural bone and grey resin brings depth and complexity to fabulous Felicity Console.,"139016-1,139016-2,139016-3","12""D","49""W","32""H"
139010,SAVANNAH CONSOLE TABLE,Interlude Home,Furniture > Living > Tables > Console Tables,2839,5678,The classical lines of the Savannah Console Table get a fresh update when they're realized fabulously in acrylic and glass.,"139010-1,139010-2","16""D","52""W","30""H"
138019,AVA SOFA TABLE,Interlude Home,Furniture > Living > Tables > Console Tables,2839,5678,The classical design of the Ava Sofa Table feels fresh and modern when it's realized in acrylic and glass.,138019-1,"10""D","60""W","30""H"
135047,AVA CONSOLE TABLE,Interlude Home,Furniture > Living > Tables > Console Tables,2562,5124,"Clean and clear, the simple and utterly classic feel of the Ava Console Table brings the sophistication of acrylic and glass to complement any transitional environment.","135047-1,135047-2","12""D","48""W","32""H"
188196,MILA 6 DRAWER CHEST,Interlude Home,Furniture > Bedroom > Dressers,4020,8040,A chic metal frame in an antique brass finish pairs with a faux linen surface in natural white to transform the Mila 6-Drawer Chest into a stunning storage piece.,"188196-1,188196-2,188196-3,188196-4","19""D","60""W","33""H"
188195,MILA OCCASIONAL CHEST,Interlude Home,Furniture > Bedroom > Dressers,2736,5472,A chic metal frame in an antique brass finish pairs with a faux linen surface in natural white to transform the Mila Occasional Chest into a stunning storage piece.,"188195-1,188195-2,188195-3,188195-4","19""D","36""W","32""H"
188194,MILA BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Dressers,1721,3442,A chic metal frame in an antique brass finish pairs with a faux linen surface in natural white to transform the Mila Bedside Chest into a stunning storage piece.,"188194-1,188194-2,188194-3,188194-4","19""D","27""W","24""H"
188158,CREED 6 DRAWER CHEST,Interlude Home,Furniture > Bedroom > Dressers,3968,7936,"Crafted of taupe ceruse oak and boasting capsule-shaped iron hardware in an antique brass finish, the Creed 6-Drawer Chest adds sophistication to any bedroom.","188158-1,188158-2,188158-3,188158-4,188158-5","18""D","60""W","33""H"
188155,CREED OCCASIONAL CHEST,Interlude Home,Furniture > Bedroom > Dressers,2506,5012,"Crafted of taupe ceruse oak and boasting capsule-shaped iron hardware in an antique brass finish, the Creed Occasional Chest adds sophistication to any bedroom.","188155-1,188155-2,188155-3,188155-4","18""D","36""W","32""H"
188144,MORAND 3 DRAWER CHEST - GREY,Interlude Home,Furniture > Bedroom > Dressers,2274,4548,"Featuring sorrel grey sharkskin faux shagreen and antique brass-finished metal hardware, the Morand 3-Drawer Chest makes a luxurious, classic statement.","188144-1,188144-2,188144-3,188144-4","18""D","42""W","35""H"
188143,MORAND 6 DRAWER CHEST - GREY,Interlude Home,Furniture > Bedroom > Dressers,3086,6172,"Featuring sorrel grey sharkskin faux shagreen and antique brass-finished metal hardware, the Morand 6-Drawer Chest makes a luxurious, classic statement.","188143-1,188143-2,188143-3,188143-4","18""D","64""W","35""H"
188142,CALYPSO 6 DRAWER CHEST - GREY,Interlude Home,Furniture > Bedroom > Dressers,3120,6240,Faux shagreen in our Sorrel Grey Sharkskin finish gives the Calypso 6-Drawer Chest an art deco vibe that looks totally chic and of-the-moment.,"188142-1,188142-2,188142-3","18""D","72""W","35""H"
188139,MORAND SMALL BEDSIDE CHEST - GREY,Interlude Home,Furniture > Bedroom > Dressers,1399,2798,"Featuring sorrel grey sharkskin faux shagreen and antique brass-finished metal hardware, the Morand Small Bedside Chest makes a luxurious, classic statement.","188139-1,188139-2,188139-3,188139-4","18""D","18""W","24""H"
188134,TAYLOR 6 DRAWER CHEST,Interlude Home,Furniture > Bedroom > Dressers,3577,7154,The clean lines of the Taylor 6-Drawer Chest are transformed into a statement piece thanks to a surface of natural white faux linen and metal pulls in champagne silver.,"188134-1,188134-2,188134-3,188134-4,188134-5","18""D","72""W","35""H"
188132,GASPARD 6 DRAWER CHEST,Interlude Home,Furniture > Bedroom > Dressers,3845,7690,The gorgeous texture of the sisal-wrapped Gaspard 6-Drawer Chest brings warmth and organic beauty to a bedroom essential.,"188132-1,188132-2,188132-3,188132-4","18""D","60""W","34""H"
188131,GASPARD LARGE BEDSIDE CHEST,Interlude Home,Furniture > Bedroom > Dressers,2382,4764,The gorgeous texture of the sisal-wrapped Gaspard Large Bedside Chest brings warmth and organic beauty to a bedroom essential.,"188131-1,188131-2,188131-3","19""D","30""W","30""H"
188121,CASSIAN GRAND CHEST - BLACK/ BRASS,Interlude Home,Furniture > Bedroom > Dressers,3339,6678,"Boasting black hide with clear acrylic pulls and shiny brass accents, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","188121-1,188121-2,188121-3,188121-4","18""D","48""W","33""H"
188120,CASSIAN 3 DRAWER CHEST - BLACK/ BRASS,Interlude Home,Furniture > Bedroom > Dressers,2565,5130,"Boasting black hide with clear acrylic pulls and shiny brass accents, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","188120-1,188120-2,188120-3","18""D","28""W","30""H"
188083,DESIRE OCCASIONAL CHEST,Interlude Home,Furniture > Bedroom > Dressers,2213,4426,"Paying homage to a fabulous midcentury modern silhouette, the Desire Occasional Chest features bold, brushed brass hardware and a grey wash oak finish.","188083-1,188083-2,188083-3,188083-4","18""D","37""W","30""H"
188054,CASSIAN GRAND CHEST,Interlude Home,Furniture > Bedroom > Dressers,3323,6646,"Boasting light natural hide with clear acrylic pulls, the Cassian Grand Chest brings an unexpected, fabulous twist to a storage staple.","188054-1,188054-2,188054-3","18""D","48""W","33""H"
188053,CASSIAN 3 DRAWER OCCASIONAL CHEST,Interlude Home,Furniture > Bedroom > Dressers,2391,4782,"Boasting light natural hide with clear acrylic pulls, the Cassian Chest brings an unexpected, fabulous twist to a storage staple.","188053-1,188053-2,188053-3","18""D","28""W","30""H"
