sku,Name,Brand,Categories,Wholesale,Retail,Description,Images,Length,Width,Height
CLA-416-053,WATERCOLOURS,Caracole,Furniture > Bedroom > Armoires & Wardrobes,2567,5134,"A piece of art is not always found on a canvas. Our custom-painted Watercolours cabinet is a piece of art that also solves a variety of functions in your home. Distinguished by its impressionistic Tranquil finish in greyish blue/aqua that has been kissed with silver leaf, it will literally shimmer in any room. In true Caracole style, our custom-designed, asymmetrical, metallic palm frond door pulls enhance this piece of art. Watercolours is sized to hold a 42-inch television. Additional features include a pull-out writing surface with cord access, two adjustable shelves behind sliding doors, as well as two drawers and two file drawers. Finished with a warm Coastal Silver Leaf plate cap and base, this piece functions as an office, entertainment center or bar with equal fluidity.","CLA-416-053-1.jpg,CLA-416-053-2.jpg,CLA-416-053-3.jpg,CLA-416-053-4.jpg,CLA-416-053-5.jpg",44W x 20D x 80H,,
CLA-016-103,BEDTIME BEAUTY - QUEEN,Caracole,Furniture > Bedroom > Beds,1698,3396,This Bedtime Beauty has a dramatically updated camel-back headboard with generous curving wings that give it regal style. The exposed exquisitely carved wood rail is finished in radiant Auric silver leaf. Fully upholstered in a cream strie fabric. This piece has a low footboard and square-tapered carved feet. Refined elegance never looked so comfortable.,"CLA-016-103-1.jpg,CLA-016-103-2.jpg,CLA-016-103-3.jpg,CLA-016-103-4.jpg,CLA-016-103-5.jpg",76W x 90.5D x 65H,,
CLA-016-123,BEDTIME BEAUTY - KING,Caracole,Furniture > Bedroom > Beds,1917,3834,This Bedtime Beauty has a dramatically updated camel-back headboard with generous curving wings that give it regal style. The exposed exquisitely carved wood rail is finished in radiant Auric silver leaf. Fully upholstered in a cream strie fabric. This piece has a low footboard and square-tapered carved feet. Refined elegance never looked so comfortable.,"CLA-016-123-1.jpg,CLA-016-123-2.jpg,CLA-016-123-3.jpg,CLA-016-123-4.jpg,CLA-016-123-5.jpg",94.25W x 90.5D x 65H,,
CLA-016-143,BEDTIME BEAUTY - CAL KING,Caracole,Furniture > Bedroom > Beds,1946,3892,This Bedtime Beauty has a dramatically updated camel-back headboard with generous curving wings that give it regal style. The exposed exquisitely carved wood rail is finished in radiant Auric silver leaf. Fully upholstered in a cream strie fabric. This piece has a low footboard and square-tapered carved feet. Refined elegance never looked so comfortable.,"CLA-016-143-1.jpg,CLA-016-143-2.jpg,CLA-016-143-3.jpg,CLA-016-143-4.jpg,CLA-016-143-5.jpg",94.25W x 94.5D x 65H,,
CLA-017-105,A NIGHT IN PARIS QN,Caracole,Furniture > Bedroom > Beds,1468,2936,"As glamorous as a night in Paris, this chic fully upholstered bed evokes the beauty of classic French styling. Luxuriously comfortable, its shapely design features a camel-back headboard and footboard distinguished by decorative cord trim detailing. Its exposed wood legs are finished in rich tones of Sparkling Argent. The resulting effect is timelessly elegant and infinitely magical.","CLA-017-105-1.jpg,CLA-017-105-2.jpg,CLA-017-105-3.jpg,CLA-017-105-4.jpg,CLA-017-105-5.jpg",66.25W x 88D x 66.5H,,
CLA-017-125,A NIGHT IN PARIS KG,Caracole,Furniture > Bedroom > Beds,1637,3274,"As glamorous as a night in Paris, this chic fully upholstered bed evokes the beauty of classic French styling. Luxuriously comfortable, its shapely design features a camel-back headboard and footboard distinguished by decorative cord trim detailing. Its exposed wood legs are finished in rich tones of Sparkling Argent. The resulting effect is timelessly elegant and infinitely magical.","CLA-017-125-1.jpg,CLA-017-125-2.jpg,CLA-017-125-3.jpg,CLA-017-125-4.jpg,CLA-017-125-5.jpg",82.25W x 88D x 66.5H,,
CLA-019-101,FALL IN LOVE - QUEEN,Caracole,Furniture > Bedroom > Beds,1281,2562,"When every detail falls into place, you can't help but Fall in Love. And so it is with this captivating bed. With a softly curved headboard that ensconces you in style, it boasts a thoughtful combination of luxe materials. As you lay back and rest your head, you'll enjoy the soft support of an exquisitely upholstered headboard framed with wood trim finished in lustrous Matte Pearl. This exquisite finish also highlights its shapely wood footboard and side rails. Understated yet exceptional, this beloved bed captures the essence of everyday elegance.","CLA-019-101-1.jpg,CLA-019-101-2.jpg,CLA-019-101-3.jpg",66W x 86D x 66H,,
CLA-019-105,MEET U IN THE MIDDLE - QUEEN,Caracole,Furniture > Bedroom > Beds,1163,2326,"Bringing a modern organic feel to the well-appointed bedroom, this expressive bed is a statement-maker by design. Its tall, substantial headboard features a modern channel tufting design of converging angles that meet in the center to create a mesmerizing chevron. A wood frame in an Ash Driftwood finish provides a worthy frame. This bed's fully finished sides appear to float above the ground suspended by an exquisite wood base also wearing the easygoing elegance of Ash Driftwood.","CLA-019-105-1.jpg,CLA-019-105-2.jpg,CLA-019-105-3.jpg,CLA-019-105-4.jpg,CLA-019-105-5.jpg,CLA-019-105-6.jpg",68.5W x 82.75D x 67.75H,,
CLA-019-121,FALL IN LOVE - KING,Caracole,Furniture > Bedroom > Beds,1396,2792,"When every detail falls into place, you can't help but Fall in Love. And so it is with this captivating bed. With a softly curved headboard that ensconces you in style, it boasts a thoughtful combination of luxe materials. As you lay back and rest your head, you'll enjoy the soft support of an exquisitely upholstered headboard framed with wood trim finished in lustrous Matte Pearl. This exquisite finish also highlights its shapely wood footboard and side rails. Understated yet exceptional, this beloved bed captures the essence of everyday elegance.","CLA-019-121-1.jpg,CLA-019-121-2.jpg,CLA-019-121-3.jpg",82W x 86D x 66H,,
CLA-019-122,LIGHT UP YOUR LIFE - KING,Caracole,Furniture > Bedroom > Beds,1439,2878,"A stylish departure from the ordinary, this impressive upholstered bed captures the imagination. Tall acrylic headposts draw the eye upward while illuminating the room with cosmopolitan glamour. The picture of bold elegance, it features a headboard, footboard and side rails tailored to perfection in a luxurious fabric in the softest shade of sand. Glimmering touches of Smoked Bronze add reflectivity to the base of the headboard and the footboard's posts. Jewel-like acrylic front feet complete the ensemble.","CLA-019-122-1.jpg,CLA-019-122-2.jpg,CLA-019-122-3.jpg,CLA-019-122-4.jpg,CLA-019-122-5.jpg,CLA-019-122-6.jpg,CLA-019-122-7.jpg,CLA-019-122-8.jpg,CLA-019-122-9.jpg,CLA-019-122-10.jpg",81.75W x 86D x 66.25H,,
CLA-019-123,DREAM ON AND ON - KING,Caracole,Furniture > Bedroom > Beds,1713,3426,"The essence of understated luxury, this stately panel bed conveys serious sophistication. Its refined countenance sets a serene mood and creates a natural focal point for a well-dressed bedroom. Finely upholstered, the headboard, footboard and siderail are accented with inset metal bar accents and Pearl Shagreen trim. An elegant shade of Taupe Paint highlights the lower headboard and base frame to ensure fabrics and bed linens are framed in style. Like jewelry completes an outfit, this bed features front feet capped with glamorous metal ferrules that catch the eye and tie the room's finishes together.","CLA-019-123-1.jpg,CLA-019-123-2.jpg,CLA-019-123-3.jpg",80.75W x 86D x 64H,,
CLA-019-125,MEET U IN THE MIDDLE - KING,Caracole,Furniture > Bedroom > Beds,1310,2620,"Bringing a modern organic feel to the well-appointed bedroom, this expressive bed is a statement-maker by design. Its tall, substantial headboard features a modern channel tufting design of converging angles that meet in the center to create a mesmerizing chevron. A wood frame in an Ash Driftwood finish provides a worthy frame. This bed's fully finished sides appear to float above the ground suspended by an exquisite wood base also wearing the easygoing elegance of Ash Driftwood.","CLA-019-125-1.jpg,CLA-019-125-2.jpg,CLA-019-125-3.jpg,CLA-019-125-4.jpg,CLA-019-125-5.jpg,CLA-019-125-6.jpg",84.25W x 82D x 67.75H,,
