sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
47020,WILDWOOD Emma Lamp - Sea Mist,WILDWOOD,Lighting > Table Lamps ,495.30,"Complement Your Transitional Or Contemporary Decor With This Versatile 32"" Accent Lamp. A Warm Antique Gold Leaf Finished Base Supports A Sea Mist Glazed Vintage Inspired Ceramic Vase. An Open Pentagonal Gold Finial Braces The IVory Tapered Linen Drum Shade As It Diffuses The Light And Completes The Design. This Simple Yet Stylish Light Feature Will Enhance Any Entryway, Bedroom Or Living Area.

Overall Dimensions: 32h x 8w x 8d
Materials: Ceramic
Finish: Sea Mist Glaze","
47020-1, 47020-2, 47020-3",8,8,32
65631,"WILDWOOD Norah Lamp",WILDWOOD,Lighting > Table Lamps ,993.07,"Complete Any Transitional Space With This Sleek, Modern Table Lamp. Hand Crafted Art Glass With An Amber Tone Is Gently Twisted Creating A Lovely Sense Of Movement And Fluidity. The Cream Raw Silk Drum Shade And Matching Finial Add Elegance To This Artistic Design Ideal For A Sophisticated Bedroom Or Living Area. French Wired.

Overall Dimensions: 29.5h x 6.3w x 6.3d
Materials: Glass
Finish: Clear/Amber","65631-1, 65631-2, 65631-3, 65631-4, 65631-5",6.3,6.3,29.5
47083,WILDWOOD Emma Lamp - Turkish Blue,WILDWOOD,Lighting > Table Lamps ,495.30,"Complement Your Transitional Or Contemporary Decor With This Versatile 32"" Accent Lamp. A Warm Antique Gold Leaf Finished Base Supports A Turkish Blue Glazed Vintage Inspired Ceramic Vase. An Open Pentagonal Gold Finial Braces The IVory Tapered Linen Drum Shade As It Diffuses The Light And Completes The Design. This Simple Yet Stylish Light Feature Will Enhance Any Entryway, Bedroom Or Living Area.

Overall Dimensions: 32h x 8w x 8d
Materials: Ceramic
Finish: Turkish Blue Glaze","47083-1, 47083-2, 47083-3, 47083-4
",8,8,32
17179,WILDWOOD Lapis Lamp,WILDWOOD,Lighting > Table Lamps ,644.63,"Lapis Lamp Is A Stunning Mouth Blown Italian Glass Vase On An Acrylic Mounting With French Wiring. Topped With An Off White Drum Shade And Acrylic Ball Finial, This Table Lamp Is Ideal For Any Decorative Style Including Coastal. Display This Artistic Light Source On A Tabletop In Your Living Area Or Master Suite For Ample Illumination. Designed By Vietri, One Of The Leading Suppliers Of Fine Italian Ceramic Dinnerware.

Overall Dimensions: 29h x 7.3w x 7.3d
Materials: Glass
Finish: Lapis","17179-1, 17179-2, 17179-3
",7.3,7.3,29
65497,WILDWOOD Damon Lamp,WILDWOOD,Lighting > Table Lamps ,920.89,"Featuring Natural White Alabaster, Crystal, And Brass Accents, The Damon Lamp Brings A Touch Of Elegance To Your Rustic Modern Home.

Overall Dimensions: 27.5h x 8w x 5d
Materials: Alabaster
Finish: Natural White",65497-1,27.5,8,5
47019,WILDWOOD Emma Lamp - Fog,WILDWOOD,Lighting > Table Lamps ,945.30,"Complement Your Transitional Or Contemporary Decor With This Versatile 32"" Accent Lamp. A Warm Antique Gold Leaf Finished Base Supports A Gray Glazed Vintage Inspired Ceramic Vase. An Open Pentagonal Gold Finial Braces The IVory Tapered Linen Shade As It Diffuses The Light And Completes The Design. This Simple Yet Stylish Light Feature Will Enhance Any Entryway, Bedroom Or Living Area.

Overall Dimensions: 32h x 8w x 8d
Materials: Ceramic
Finish: Fog Glaze","47019-1, 47019-2, 47019-3",8,8,32
46766,WILDWOOD Abbington Lamp - White,WILDWOOD,Lighting > Table Lamps ,420.63,"Hand Decorated Faux Wood

Overall Dimensions: 30h x 8.3w x 4d
Materials: Composite
Finish: Gold",46766-1,8.3,4,20.5
46766-2,WILDWOOD Abbington Lamp - Black,WILDWOOD,Lighting > Table Lamps ,420.63,"Hand Decorated Faux Wood

Overall Dimensions: 30h x 8.3w x 4d
Materials: Composite
Finish: Gold",46766-2-1,8.3,4,20.5
60467,WILDWOOD Naomi Lamp,WILDWOOD,Lighting > Table Lamps ,793.96,"Naomi Lamp Is An Elegant Crystal And Brass 32"" Table Lamp. Its Gracefully Curved Hourglass Silhouette Is Topped With A Beige Silkette Shallow Drum Shade For A Traditional Design With A Modern Touch. Featuring Two Lights With Pull Chains, This Accent Light Is Sure To Bring Beauty And Shine To Your Dining Room Buffet Or Formal Living Room End Table.

Overall Dimensions: 32.5h x 6w x 7.5d
Materials: Crystal/Brass
Finish: Clear/Antique","60467-1
",6,7.5,32.5
60459,WILDWOOD Belle Mont Lamp,WILDWOOD,Lighting > Table Lamps ,843.74,"Belle Mont Lamp Is An Exquisite 28"" Table Lamp Featuring Marbled Art Glass. The Graceful Gourd Shaped Glass Is Mounted On A Clear Crystal Base With Brass Accents. An Off White Silkette Shallow Drum Shade Encircles Two Lights For A Luminous Glow Throughout Your Room.

Overall Dimensions: 28h x 5.5w x 5.5d
Materials: Art Glass
Finish: Gray
",60459-1,5.5,5.5,28
