sku,Name,Brand,Categories,Price,Description,Images,Length,Width,Height
9267T,Jewel Dining Table,Costantini Pietro,Tables > Dining Tables,,"Italian import hand crafted dining table with chrome and hand blown murano glass legs.

L 82.75 (+2x19.75 separate extension leaves) W 41.5 H 30 
Custom size available up to 122x47.

Top                                              Finish:
Castagno Toscano                      matt / high gloss
Ebony                                          matt / high gloss
Eucalyptus                                   matt / high gloss
Graphite                                       high gloss
Kakao                                           matt / high gloss
Lacq. Silk, Terra, Black, White      high gloss
Texture                                          matt
Walnut + Walnut Burl                    matt
Zulu                                               high gloss","9267TM-1, 9267TM-2, 9267TM-3",,,
9283T,Royal Dining Table,Costantini Pietro,Tables > Dining Tables,,"Italian import hand crafted dining table with choice of custom wood finishes; chrome base with murano glass legs

L 82.75 (+2x19.75 separate extension leaves) W 41.5 H 30
Custom size available up to 122x47

Top:                                                    Finish:
Castagno Toscano                             matt / high gloss
Ebony                                                 matt / high gloss
Eucalyptus                                          matt / high gloss
Graphite                                              high gloss
Kakao                                                  matt / high gloss
Lacq. Silk, Terra, Black, White            high gloss 
Savannah                                            high gloss
Texture                                                matt
Walnut + Walnut Burl                          matt
Zulu                                                     high gloss","9283T-1, 9283T-2",,,
9293T,Pasha Dining Table,Costantini Pietro,Tables > Dining Tables,,"Italian import hand crafted dining table with choice of custom wood top or glass top; chrome base with hand blown murano glass. 

Diam 60 - H 30
Custom size available up to Diam. 70.
Available in glass top

Top:                                                    Finish:
Castagno Toscano                             matt / high gloss
Ebony                                                 matt / high gloss
Eucalyptus                                          matt / high gloss
Graphite                                              high gloss
Kakao                                                  matt / high gloss
Lacq. Silk, Terra, Black, White            high gloss
Savannah                                            high gloss
Stone                                                   high gloss
Texture                                                 matt
Walnut                                                  matt
Zulu                                                      high gloss
 ","9293T-1, 9293T-2",,,
9334T,"Cool Dining Table
",Costantini Pietro,Tables > Dining Tables,,"Italian import hand crafted dining table with choice of custom finish wood top; chrome base with murano glass legs.

L 82.75 (+2x19.75 separate extension leaves) W 41.5 H 30
Custom size available up to 122x47.

Top:                                                     Finish:
Castagno Toscano                              matt / high glass
Ebony                                                  matt / high gloss
Eucalyptus                                           matt / high gloss
Graphite                                               high gloss
Kakao                                                   matt / high gloss
Lacquered colors                                  high gloss
Savannah                                             high gloss
Texture                                                  matt
Walnut + Walnut Burl                            matt
Zulu                                                       high gloss","9334T-1, 9334T-2, 9334T-3, 9334T-4",,,
9264S,Resort Side Chair ,Costantini Pietro,Seating > Dining Chairs,,"Italian import hand crafted side chair with choice of custom fabrics made to order. 

Mod. 9264S RESORT/1
side chair (round back)
H 38.5 D 23.5 W 19.25  SH 18
2xcrt = 0,50 m3
 Lb 46

Mod. 9265S RESORT/2
side chair (square back)
H 35.5 D 23 W 19.25 SH 18
2xcrt = 0,50 m3
 Lb 46

Mod. 9266S RESORT/3
side chair (oval back)
H 41.25 D 24.5 W 19.25 SH 18
2xcrt = 0,50 m3
 Lb 46","9264-1, 9264-2, 9264-3, 9264-4",,,
 9264B ,Resort Bar Stool,Costantini Pietro,Seating > Bar Stools ,,"Italian import hand crafted bar stool with choice of custom fabrics made to order. 


Mod. 9264B RESORT/1 round back
barstool WOODEN BASE
H 47.75 D 21.25 W 17.75 SH 29.5
1xcrt = 0,45 m3
 Lb 55
Price: $1,340

Mod. 9264B RESORT/1 round back
barstool METAL BASE
adjustable/swivel
H 45.25 -54.5 D 21 W 17.75 SH 22-32
1xcrt = 0,45 m3
 Lb 62
Price: $1,540


Mod. 9265B RESORT/2 square back
barstool WOODEN BASE
H 44 D 21.25 W 17.75 SH 29.5
1xcrt = 0,45 m3
 Lb 55
Price: $1,340

Mod. 9265B RESORT/2 square back
barstool METAL BASE
adjustable/swivel
H 41 - 50 D 21 W 17.75 SH 22-32
1xcrt = 0,45 m3
 Lb 62
Price: $1,540
"," 9264B-1, 9264B-2",,,
PAI.726,Aida Buffet,Costantini Pietro,Credenzas & Sideboards,,"Italian import hand crafted buffet with choice of custom wood finish. 

internal equipment:
2 adjustable shelves + 1 central silver drawer

Model available in 3 different wood essences

L 88.5 W 21.5 H 27.5
1 crt = 1,30 m3
 Lb 388","PAI.726-1, PAI.726-2",,,
9268M,Ambassador Buffet,Costantini Pietro,Credenzas & Sideboards,,"Italian import hand crafted buffet with choice of custom wood finish; Murano
Glass Spheres + Chromed Metal base

Internal equipment:
1 adjustable shelf + 1 silver drawer on the right side

L 86.5 D 22.5 H 30 fixed
1 crt = 1,24 m3
 Lb 315

Top:                                               Finish:
Castagno Toscano + Burgundy     high gloss
Castagno Toscano                         high gloss 
Eucalyptus                                     high gloss
Eucalyptus + Silk                           high gloss
Graphite                                         high gloss
Kakao                                             matt / high gloss
Texture                                           matt


","9268M-1, 9268M-2",,,
9276M,Eclipse Buffet,Costantini Pietro,Credenzas & Sideboards,,"Italian import hand crafted buffet with choice of custom wood finish and chromed metal base.

Internal equipment:
1 silver drawer on the right side

L 86.75 W 21.5 H 30.5
1 crt = 1,30 m3
 Lb 386

Top:                                             Finish:
Castagno Toscano                      matt / high gloss
Eucalyptus                                  high gloss
Graphite                                      high gloss
Kakao                                          matt / high gloss
Lacquered colors                         high gloss 
Texture                                         matt","9276M-1, 9276M-2",,,
9291SC,Feel Good Sectional ,Costantini Pietro,Seating > Sofas,,"Italian import hand crafted sofa customizable in over 150 different coverings.

Wood & Finish:

Castagno Ebony Eucalyptus matt / high gloss
Black, White, Silk, Terra, Graphite Savannah, Stone, Zulu high gloss

Dimensions: 

L 49 1/4 D 39 1/2
AH 24 3/4 SH 17

L 88 1/2 D 39 1/2
AH 24 3/4 SH 17

L 98 1/2 D 39 1/2
AH 24 3/4 SH 17

L 108 D 39 1/2* AH 24 3/4 SH 17 * Available in 2 pieces price on reques

Corner L/R
L 79 1/2 D 39 1/2 SH 17

Pouf
L 29 1/2 D 39 1/2
SH 17


*CUSTOM MADE TO ORDER",9291SC-1,,,
